countryid,name,reportperiod,shortname,status_DOM,lastdate_DOM,status_WILD,lastdate_WILD
AFG,Afghanistan,20182,Bovine tuberculosis,+,,...,
AFG,Afghanistan,20181,Bovine tuberculosis,+,,...,
ALB,"Albania, Republic of",20182,Bovine tuberculosis,+,,...,
ALB,"Albania, Republic of",20181,Bovine tuberculosis,...,,...,
DZA,"Algeria, People's Democratic Republic of",20181,Bovine tuberculosis,+,,...,
DZA,"Algeria, People's Democratic Republic of",20182,Bovine tuberculosis,+,,...,
AND,"Andorra, Principality of",20181,Bovine tuberculosis,-,2012/06,-,2004
AND,"Andorra, Principality of",20182,Bovine tuberculosis,-,2012/06,-,2004
AGO,"Angola, Republic of",20181,Bovine tuberculosis,-,2015/06,...,
AGO,"Angola, Republic of",20182,Bovine tuberculosis,-,2015/06,...,
ARG,"Argentina, Argentine Republic",20181,Bovine tuberculosis,+(),,+?(),
ARG,"Argentina, Argentine Republic",20182,Bovine tuberculosis,+(),,+?(),
ARM,Armenia,20182,Bovine tuberculosis,-,23/01/2018,-,
ARM,Armenia,20181,Bovine tuberculosis,+?(),,-,
AUS,"Australia, Commonwealth of",20181,Bovine tuberculosis,-,2002,-,2002
AUS,"Australia, Commonwealth of",20182,Bovine tuberculosis,-,2002,-,2002
AUT,"Austria, Republic of",20182,Bovine tuberculosis,-,2018/04,-,2010
AUT,"Austria, Republic of",20181,Bovine tuberculosis,+,,-,2010
AZE,"Azerbaijan, Republic of",20181,Bovine tuberculosis,-,2010,-,
AZE,"Azerbaijan, Republic of",20182,Bovine tuberculosis,-,2010,-,
BHR,"Bahrain, Kingdom of",20181,Bovine tuberculosis,-,2016/07,-,
BHR,"Bahrain, Kingdom of",20182,Bovine tuberculosis,-,2016/07,-,
BGD,"Bangladesh, People's Republic of",20182,Bovine tuberculosis,+,,...,
BGD,"Bangladesh, People's Republic of",20181,Bovine tuberculosis,+,,...,
BRB,Barbados,20181,Bovine tuberculosis,-,1976,...,
BRB,Barbados,20182,Bovine tuberculosis,-,1976,...,
BLR,Belarus,20181,Bovine tuberculosis,-,,...,
BLR,Belarus,20182,Bovine tuberculosis,-,,...,
BEL,"Belgium, Kingdom of",20181,Bovine tuberculosis,+(),,-,
BEL,"Belgium, Kingdom of",20182,Bovine tuberculosis,+(),,-,
BLZ,Belize,20181,Bovine tuberculosis,-,27/04/2016,-,
BLZ,Belize,20182,Bovine tuberculosis,-,27/04/2016,-,
BTN,"Bhutan, Kingdom of",20181,Bovine tuberculosis,-,,-,
BTN,"Bhutan, Kingdom of",20182,Bovine tuberculosis,-,,-,
BOL,"Bolivia, Republic of",20181,Bovine tuberculosis,+,,?,
BOL,"Bolivia, Republic of",20182,Bovine tuberculosis,+,,?,
BIH,Bosnia and Herzegovina,20181,Bovine tuberculosis,-,2017/10,-,
BIH,Bosnia and Herzegovina,20182,Bovine tuberculosis,-,2017/10,-,
BWA,"Botswana, Republic of",20181,Bovine tuberculosis,-,,...,
BRA,"Brazil, Federative Republic of",20182,Bovine tuberculosis,+,,...,
BRA,"Brazil, Federative Republic of",20181,Bovine tuberculosis,+,,...,
BRN,Brunei Darussalam,20182,Bovine tuberculosis,0,,0,
BRN,Brunei Darussalam,20181,Bovine tuberculosis,0,,0,
BGR,"Bulgaria, People's Republic of",20182,Bovine tuberculosis,+(),,-,2005
BGR,"Bulgaria, People's Republic of",20181,Bovine tuberculosis,+(),,-,2005
BFA,Burkina Faso,20182,Bovine tuberculosis,+(),,+(),
BFA,Burkina Faso,20181,Bovine tuberculosis,+,,+,
BDI,"Burundi, Republic of",20181,Bovine tuberculosis,+,,?,
BDI,"Burundi, Republic of",20182,Bovine tuberculosis,+,,?,
CPV,Cabo Verde,20182,Bovine tuberculosis,-,,...,
CPV,Cabo Verde,20181,Bovine tuberculosis,-,,...,
KHM,"Cambodia, Kingdom of",20181,Bovine tuberculosis,-,,...,
KHM,"Cambodia, Kingdom of",20182,Bovine tuberculosis,-,,...,
CAN,Canada,20181,Bovine tuberculosis,-,14/07/2017,+(),
CAN,Canada,20182,Bovine tuberculosis,+,,+(),
CAF,Central African Republic,20182,Bovine tuberculosis,+,,...,
CAF,Central African Republic,20181,Bovine tuberculosis,+,,...,
CEU,Ceuta,20181,Bovine tuberculosis,-,,-,
CEU,Ceuta,20182,Bovine tuberculosis,-,,-,
TCD,"Chad, Republic of",20181,Bovine tuberculosis,-,2017/01,...,
TCD,"Chad, Republic of",20182,Bovine tuberculosis,-,2017/01,...,
CHL,"Chile, Republic of",20181,Bovine tuberculosis,+,,-,
CHL,"Chile, Republic of",20182,Bovine tuberculosis,+,,-,
CHN,"China, People's Republic of",20181,Bovine tuberculosis,+(),,...,
TWN,Chinese Taipei,20181,Bovine tuberculosis,+?,,-,2009/07
TWN,Chinese Taipei,20182,Bovine tuberculosis,+?,,-,2009/07
COL,"Colombia, Republic of",20181,Bovine tuberculosis,+,,-,
COL,"Colombia, Republic of",20182,Bovine tuberculosis,+,,-,
COM,"Comoros, Union of the",20181,Bovine tuberculosis,...,,...,
COD,"Congo, Democratic Republic of",20181,Bovine tuberculosis,+(),,...,
COG,"Congo, People's Republic of",20181,Bovine tuberculosis,-,2015/12,...,
