country,country_code,year,dom,wild
Afghanistan,AFG,2018,present,
"Albania, Republic of",ALB,2018,present,
"Algeria, People's Democratic Republic of",DZA,2018,present,
"Andorra, Principality of",AND,2018,not present,not present
"Angola, Republic of",AGO,2018,not present,
"Argentina, Argentine Republic",ARG,2018,limited,suspected + limited
Armenia,ARM,2018,suspected + limited,not present
"Australia, Commonwealth of",AUS,2018,not present,not present
"Austria, Republic of",AUT,2018,present,not present
"Azerbaijan, Republic of",AZE,2018,not present,not present
"Bahrain, Kingdom of",BHR,2018,not present,not present
"Bangladesh, People's Republic of",BGD,2018,present,
Barbados,BRB,2018,not present,
Belarus,BLR,2018,not present,
"Belgium, Kingdom of",BEL,2018,limited,not present
Belize,BLZ,2018,not present,not present
"Bhutan, Kingdom of",BTN,2018,not present,not present
"Bolivia, Republic of",BOL,2018,present,
Bosnia and Herzegovina,BIH,2018,not present,not present
"Botswana, Republic of",BWA,2018,not present,
"Brazil, Federative Republic of",BRA,2018,present,
Brunei Darussalam,BRN,2018,,
"Bulgaria, People's Republic of",BGR,2018,limited,not present
Burkina Faso,BFA,2018,present,present
"Burundi, Republic of",BDI,2018,present,
Cabo Verde,CPV,2018,not present,
"Cambodia, Kingdom of",KHM,2018,not present,
Canada,CAN,2018,present,limited
Central African Republic,CAF,2018,present,
Ceuta,CEU,2018,not present,not present
"Chad, Republic of",TCD,2018,not present,
"Chile, Republic of",CHL,2018,present,not present
"China, People's Republic of",CHN,2018,limited,
Chinese Taipei,TWN,2018,suspected,not present
"Colombia, Republic of",COL,2018,present,not present
"Comoros, Union of the",COM,2018,,
"Congo, Democratic Republic of",COD,2018,limited,
"Congo, People's Republic of",COG,2018,present,
Cook Islands,COK,2018,,
"Costa Rica, Republic of",CRI,2018,present,
"Cote D'Ivoire, Ivory Coast, Republic of the",CIV,2018,limited,
"Cuba, Republic of",CUB,2018,not present,not present
"Cyprus, Republic of",CYP,2018,not present,not present
Czech Republic,CZE,2018,not present,not present
"Denmark, Kingdom of",DNK,2018,not present,not present
"Djibouti, Republic of",DJI,2018,not present,not present
Dominican Republic,DOM,2018,present,present
"Ecuador, Republic of",ECU,2018,present,
"Egypt, Arab Republic of",EGY,2018,present,not present
"El Salvador, Republic of",SLV,2018,present,
Eritrea,ERI,2018,not present,not present
Estonia,EST,2018,not present,not present
Ethiopia,ETH,2018,not present,
Falkland Islands (Malvinas),FLK,2018,,
